date,shift,cashier,expected_cash,actual_cash,variance
2026-06-01,Morning,Yangi,462.51,460.3,-2.21
  2026-06-01,Evening,Yangi,788.35,774.22,-14.13
  2026-06-02,Morning,Priya,465.89,463.75,-2.14
  2026-06-02,Evening,Yangi,730.62,732.23,1.61
  2026-06-03,Morning,Priya,560.22,562.7,2.48
  2026-06-03,Evening,Yangi,829.4,828.78,-0.62
  2026-06-04,Morning,Dario,527.74,491.15,-36.59
  2026-06-04,Evening,Yangi,639.96,638.71,-1.25
  2026-06-05,Morning,Dario,853.56,853.85,0.29
  2026-06-05,Evening,Priya,489.4,490.43,1.03
  2026-06-06,Morning,Dario,738.68,735.05,-3.63
  2026-06-06,Evening,Amira,836.53,812.91,-23.62
  2026-06-07,Morning,Yangi,640.06,642.73,2.67
  2026-06-07,Evening,Amira,635.09,633.23,-1.86
  2026-06-08,Morning,Yangi,754.57,756.4,1.83
  2026-06-08,Evening,Amira,681.13,684.53,3.4
  2026-06-09,Morning,Amira,792.31,785.07,-7.24
  2026-06-09,Evening,Amira,860.9,849.91,-10.99
  2026-06-10,Morning,Yangi,555.49,532.4,-23.09
  2026-06-10,Evening,Dario,556.31,559.39,3.08
  2026-06-11,Morning,Priya,521.44,523.4,1.96
  2026-06-11,Evening,Dario,823.51,824.18,0.67
  2026-06-12,Morning,Dario,559.66,527.4,-32.26
  2026-06-12,Evening,Yangi,827.89,814.42,-13.47
  2026-06-13,Morning,Amira,846.04,842.55,-3.49
  2026-06-13,Evening,Priya,747.94,745.95,-1.99
  2026-06-14,Morning,Yangi,790.14,793.22,3.08
  2026-06-14,Evening,Dario,834.3,832.65,-1.65
  2026-06-15,Morning,Amira,676.86,653.76,-23.1
  2026-06-15,Evening,Dario,935.94,936.0,0.06
  2026-06-16,Morning,Yangi,885.26,886.37,1.11
  2026-06-16,Evening,Amira,526.42,526.74,0.32
  2026-06-17,Morning,Yangi,749.47,746.36,-3.11
  2026-06-17,Evening,Dario,889.36,877.44,-11.92
  2026-06-18,Morning,Yangi,570.44,567.07,-3.37
  2026-06-18,Evening,Priya,858.01,826.33,-31.68
  2026-06-19,Morning,Amira,514.2,514.6,0.4
  2026-06-19,Evening,Dario,713.84,717.55,3.71
  2026-06-20,Morning,Amira,806.47,807.84,1.37
  2026-06-20,Evening,Dario,669.05,666.02,-3.03
  2026-06-21,Morning,Amira,482.01,482.44,0.43
  2026-06-21,Evening,Amira,453.6,450.07,-3.53
  2026-06-22,Morning,Yangi,902.71,888.42,-14.29
  2026-06-22,Evening,Amira,589.24,589.55,0.31
  2026-06-23,Morning,Priya,571.5,570.76,-0.74
  2026-06-23,Evening,Yangi,498.47,497.86,-0.61
  2026-06-24,Morning,Priya,881.92,883.15,1.23
  2026-06-24,Evening,Yangi,480.31,482.71,2.4
  2026-06-25,Morning,Yangi,574.33,573.92,-0.41
  2026-06-25,Evening,Priya,541.74,544.74,3.0
  2026-06-26,Morning,Yangi,671.57,662.07,-9.5
  2026-06-26,Evening,Yangi,776.07,772.19,-3.88
  2026-06-27,Morning,Yangi,913.18,899.84,-13.34
  2026-06-27,Evening,Priya,690.68,684.7,-5.98
  2026-06-28,Morning,Amira,639.49,601.12,-38.37
  2026-06-28,Evening,Priya,592.62,594.46,1.84
  2026-06-29,Morning,Priya,527.4,531.15,3.75
  2026-06-29,Evening,Yangi,823.99,824.66,0.67
  2026-06-30,Morning,Amira,478.44,481.25,2.81
  2026-06-30,Evening,Yangi,747.52,745.4,-2.12
